stock_code,trade_date,close,rs_rank,ma10,ma50,ma150,ma200,high_52w,low_52w,atr10,atr50,pivot_price,volume,vol50,canslim_score,eps_acceleration,roe,revenue_growth,fcf_quality,is_current_hold,ideal_entry,hard_stop,atr_15,vix_adj
CDE,2025-12-23,18.929899215698242,4.057591623036649,17.488989925384523,16.884397945404054,13.607599322001139,11.738799490928649,23.6200008392334,4.579999923706055,1.2245000839233398,1.1761001205444337,19.725000381469727,12450175,17872223.78,4,4.475,0.19572,0.769,0.3347374965116258,✅,18.29 - 18.74,17.32,1.07,1.0
MLI,2025-12-23,117.75,3.5667539267015704,114.51500015258789,107.91220748901367,94.68071950276693,89.79068614959716,118.09500122070312,66.30552190236294,2.25889892578125,2.507933003656466,117.90899658203125,257430,742249.68,2,0.234,0.26139998,0.08,0.6958560187043434,✅,116.38 - 116.57,114.32,2.29,1.0
NVO,2025-12-23,51.19499969482422,4.221204188481675,49.16149978637695,48.29119055611746,48.29119055611746,48.29119055611746,53.19499969482422,43.08000183105469,1.7465003967285155,1.549762180873326,50.75,58095324,19072239.23809524,0,-0.267,0.71465,0.051,0.27909703890418963,✅,50.29 - 50.68,48.93,1.51,1.0
