stock_code,trade_date,close,rs_rank,ma50,ma200,high_52w,pivot_price,volume,vol50,quarterly_eps_growth,annual_eps_growth,shares_outstanding,inst_ownership,canslim_score
HII,2025-12-22,353.5199890136719,90.57142857142857,308.8586553955078,257.45044273376465,357.44000244140625,337.44000244140625,759379,473103.58,0.436,0.439,39241434,0.96980006,5
HEI,2025-12-22,334.5799865722656,78.97142857142858,313.817001953125,299.6623632049561,338.9200134277344,337.57000732421875,618522,373848.44,0.348,0.33,55053674,0.73108,5
