stock_code,trade_date,close,rs_rank,ma10,ma50,ma150,ma200,high_52w,low_52w,atr10,atr50,pivot_price,volume,vol50,fundamental_score,eps_acceleration,roe,revenue_growth,fcf_quality,is_current_hold,ideal_entry,hard_stop,atr_15,vix_adj
CSTM,2025-12-22,18.959999084472656,86.11428571428571,18.328999710083007,16.551399898529052,14.832599951426188,13.719399981498718,19.290000915527344,7.329999923706055,0.5680000305175781,0.6692001342773437,18.780000686645508,1665785,1292323.7,2.0,11.571,0.121750005,0.202,0.08416433734939759,❌,18.59 - 18.77,18.04,0.61,1.0
CLCO,2025-12-22,9.829999923706055,79.2,9.807000064849854,9.729400024414062,8.21293334643046,7.570000009536743,9.864999771118164,4.510000228881836,0.045499992370605466,0.060520057678222654,9.859999656677246,2832846,262390.92,1.0,0.331,0.07628,0.052,-2.470316782962933,❌,9.80 - 9.73,9.75,0.06,1.0
TRX,2025-12-22,0.949999988079071,93.94285714285714,0.8830000042915345,0.7262000012397766,0.5132666685183843,0.4629000020027161,0.968999981880188,0.27000001072883606,0.05089999437332153,0.053579999208450316,0.9100000262260437,2748640,1644802.8,0.0,,0.09358,,-0.24477886977886978,❌,0.92 - 0.94,0.87,0.05,1.0
SLSR,2025-12-22,8.119999885559082,91.14285714285715,7.815999937057495,6.910239963531494,5.731473313967387,5.211949981451035,8.194999694824219,2.5,0.2864999771118164,0.3406399822235107,8.069999694824219,193104,77708.08,0.0,,,,-1.3115641082519964,❌,7.94 - 8.04,7.68,0.29,1.0
CCO,2025-12-22,2.1600000858306885,87.25714285714285,2.0449999809265136,1.8783999967575074,1.4447999986012776,1.353099997639656,2.1649999618530273,0.8100000023841858,0.0737999439239502,0.10015998125076293,2.109999895095825,4043749,3298286.98,0.0,,,0.081,0.26352118065045094,❌,2.12 - 2.14,2.05,0.07,1.0
DVS,2025-12-22,4.949999809265137,86.97142857142856,4.631999969482422,4.283599996566773,3.9288000043233238,3.6388000011444093,5.380000114440918,2.299999952316284,0.26849994659423826,0.2744999742507935,4.949999809265137,2085321,974462.42,0.0,,-0.2619,,,❌,4.79 - 4.90,4.55,0.27,1.0
